from,to,
4100069600,41039,
1600085240,16079,
3600064639,36057,
5500077550,55123,
4200074184,42037,
2900071098,29037,
500061970,5021,
2900065000,29510,
1900075135,19127,
1700080060,17043,
1700066833,17101,
1900084765,19065,
3000075475,30057,
1900080580,19033,
3900076428,39061,
1900077520,19059,
2800072680,28049,
2100079068,21135,
3600076386,36087,
2400079350,24013,
2500076030,25013,
1900078825,19155,
2900076157,29029,
1200077675,12119,
1900081840,19113,
1900081840,19011,
2000071950,20035,
2800076560,28081,
4200077808,42013,
4200077808,42021,
500070340,5067,
500070760,5117,
1700083505,17119,
1900082740,19005,
1700076199,17119,
4600066700,46027,
4200079644,42057,
3900081032,39031,
4800075428,48469,
600082590,6071,
3600078850,36101,
2900068942,29129,
3400068550,34023,
4500066580,45045,
2600072840,26127,
4000040000,40121,
2700043864,27027,
5500066200,55117,
2700045520,27089,
1900053310,19043,
4800038992,48349,
2700043126,27083,
2900059096,29023,
4200049720,42099,
3100032060,31159,
2700041660,27159,
4800047892,48257,
4800047892,48113,
3700044320,37031,
1700046825,17057,
2600046320,26125,
1800040302,18021,
1800061164,18127,
2100051438,21037,
4200048360,42039,
500043220,5145,
2100049116,21109,
4000045350,40125,
2700039050,27119,
1800045648,18059,
4200045824,42107,
3600046206,36035,
4200048048,42103,
2900046460,29007,
3600067411,36013,
1800047322,18121,
2600055960,26049,
4800046584,48053,
5100067208,51089,
4700046540,47033,
3800049900,38059,
500044120,5077,
2000036000,20209,
4200046392,42077,
1900050205,19055,
5300040980,53077,
3100045295,31033,
2900038522,29025,
4200059672,42019,
1800048294,18045,
5100047672,51680,
3400053430,34003,
2900036332,29061,
4200069416,42003,
2800058440,28081,
100058896,1115,
4700053580,47003,
1300047196,13135,
1300047196,13297,
3900072424,39149,
4100052100,41071,
4500065005,45067,
3700037760,37027,
200060750,2158,
600070588,6087,
1700051349,17097,
1800051354,18047,
3600039309,36059,
4000046700,40065,
2700037556,27097,
100070704,1127,
1800061092,18127,
4800056156,48339,
1900055965,19021,
3100038575,31133,
4200049680,42043,
2900037592,29145,
2900037592,29097,
3600038748,36007,
4800041800,48085,
4800068708,48029,
1700064174,17009,
1200049675,12115,
1800042462,18029,
1800051408,18069,
4500039805,45031,
1200037375,12069,
3200040000,32003,
3900048090,39083,
1300064876,13269,
2700030392,27163,
1900056505,19099,
1300061320,13315,
2600067900,26157,
2600067900,26145,
2700031094,27101,
4700057080,47039,
1700050491,17063,
1900058170,19099,
2400064600,24035,
1900044715,19115,
3100031815,31031,
2900043490,29057,
1800036003,18097,
4000046300,40069,
4500041740,45019,
4500041740,45035,
800064970,8043,
5100066928,51185,
3500037840,35005,
3600037528,36099,
1200033450,12009,
5400043300,54059,
5500060500,55139,
2700046924,27131,
2700046924,27037,
3100034230,31141,
3100034230,31119,
2600072180,26063,
1700050530,17195,
3600037275,36043,
3600042950,36051,
4600033180,46071,
3400034200,34025,
500063740,5069,
4700056870,47077,
2200049870,22001,
1700038427,17035,
2000043700,20165,
100051648,1125,
100051648,1065,
2800036000,28049,
2800036000,28121,
2800036000,28089,
1800039618,18049,
5500048750,55025,
2200051970,22009,
1700042971,17113,
1800050940,18065,
2600054220,26157,
1600040600,16043,
100042808,1039,
4500055015,45043,
4800042532,48287,
4000040200,40133,
3800043500,38009,
2900067358,29227,
1200037650,12125,
500045500,5131,
3100026385,31153,
4600058180,46049,
2900043472,29061,
4000055150,40107,
4000055150,40111,
3700036640,37047,
4000067850,40143,
4000067850,40113,
3600064309,36119,
5300038038,53053,
2000038325,20005,
4800041212,48113,
2000033350,20179,
2200042800,22079,
4200041608,42079,
2900060788,29095,
4000049650,40075,
2000037075,20047,
2000035450,20083,
2600046500,26159,
4700050300,47047,
4900044100,49053,
4800054726,48381,
1800042861,18003,
4800051372,48351,
100048808,1075,
5500054900,55023,
2900050672,29109,
1700057654,17097,
4000049900,40083,
4000049900,40119,
500048290,5109,
1300066696,13045,
2500045245,25009,
4000050100,40017,
1700051661,17171,
4200064856,42017,
2200053370,22007,
5500055550,55133,
4800050628,48157,
2200046720,22093,
3400049920,34025,
3400050130,34027,
4000048500,40069,
3800056420,38037,
2400055650,24021,
3800056620,38027,
1900050655,19163,
1200064725,12011,
4000039600,40025,
2200064100,22003,
1000036760,10001,
800055155,8107,
2400056400,24031,
3900044352,39149,
1200049725,12103,
1800055080,18063,
5500063150,55137,
5100057688,51720,
1700064538,17097,
1900057630,19195,
3900057582,39123,
4000041500,40097,
4000041500,40035,
3600065035,36059,
600053322,6073,
2700048094,27165,
4800056640,48439,
1900058665,19015,
1300065856,13079,
5500066000,55101,
1900060015,19043,
5000053125,50003,
4200057544,42111,
1900058890,19087,
4600047460,46049,
800044980,8073,
4200062792,42045,
2900055964,29189,
4800049128,48339,
4800054744,48139,
2900056272,29187,
3600058992,36087,
1900062040,19123,
1900062040,19125,
2900060428,29023,
1700059273,17019,
1800059364,18125,
3900066152,39153,
3800062620,38093,
2600069420,26163,
500056270,5063,
4200056928,42061,
2700051712,27125,
3800054740,38067,
1700065962,17183,
1900050250,19029,
1900044265,19187,
600058072,6037,
4800035228,48005,
1900049755,19127,
5300055855,53031,
4800054432,48423,
4800054432,48401,
1800061470,18091,
2200062245,22069,
1900067215,19073,
3600039853,36071,
3400060900,34021,
1900065010,19037,
1900065010,19089,
1700069368,17131,
4600052500,46103,
2100066504,21111,
4200054952,42049,
2600067500,26059,
1900068205,19167,
100063768,1039,
4800040168,48309,
1700063056,17091,
1700063056,17105,
4800055020,48439,
1900066450,19091,
2900061418,29013,
2100065766,21111,
3100042075,31163,
500060770,5145,
200040950,2150,
1700065754,17079,
2700055726,27037,
4700065240,47047,
2700056338,27105,
